<oov> 1.0	<oov>
تفتیشی 1.0	T_D A F T_D I_I1 S_H I_I1
تفرقہ 1.0	T_D A F R I Q A_A
تفریحی 1.0	T_D A F R I_I1 H I_I1
تفنن 1.0	T_D A F A N N U N
تفویض 1.0	T_D A F V I_I1 Z
تفہیم 1.0	T_D A F H I_I1 M
تقاضوں 1.0	T_D A Q A_A Z O_O_N
تقدس 1.0	T_D A Q A D_D D_D U S
تقدیر 1.0	T_D A Q D_D I_I1 R
تقرری 1.0	T_D A Q A R R U R I_I1
تقریباً 1.0	T_D A Q R I_I1 B A N
تقسیم 1.0	T_D A Q S I_I1 M
تقلیل 1.0	T_D A Q L I_I1 L
تقویت 1.0	T_D A Q V I J A T_D
تلاش 1.0	T_D A L A_A S_H
تلخ 1.0	T_D A L X
تلخی 1.0	T_D A L X I_I1
تلخیاں 1.0	T_D A L X I J A_A_N
تلخیوں 1.0	T_D A L X I_I1 O_O_N
تلمیحات 1.0	T_D A L M I_I1 H A_A T_D
تلور 1.0	T_D I L O R
تلوں 1.0	T_D A L O_O_N
تلے 1.0	T_D A L A_Y
تم 1.0	T_D U M
تماشائیوں 1.0	T_D A M A_A S_H A_A I_I1 O_O_N
تمام 1.0	T_D A M A_A M
تمحیص 1.0	T_D A M H I_I1 S
تمسخر 1.0	T_D A M A S X U R
تمغوں 1.0	T_D A M G_G O_O_N
تمغہ 1.0	T_D A M G_G A_A
تمغے 1.0	T_D A M G_G A_Y
تمناؤں 1.0	T_D A M A N N A_A O_O_N
تمہارے 1.0	T_D U M H A_A R A_Y
تمہیں 1.0	T_D U M H A_Y_N
تناؤ 1.0	T_D A N A_A O_O
تنازع 1.0	T_D A N A_A Z O_O
تنازعے 1.0	T_D A N A_A Z A A_Y
تناسب 1.0	T_D A N A_A S U B
تناول 1.0	T_D A N A_A V U L
تنخواہ 1.0	T_D A N X O_O A_A
تندہی 1.0	T_D A N D_D I H I_I1
تنزلی 1.0	T_D A N A Z Z U L I_I1
تنسیخ 1.0	T_D A N S I_I1 X
تنظیم 1.0	T_D A N Z I_I1 M
تنفس 1.0	T_D A N A F F U S
تنقید 1.0	T_D A N Q I_I1 D_D
تنقیص 1.0	T_D A N Q I_I1 S
تنوع 1.0	T_D A N A V V O_O
تنولی 1.0	T_D A N O L I_I1
تنگ 1.0	T_D A N_G
تنگدستی 1.0	T_D A N_G D_D A S T_D I_I1
تنہا 1.0	T_D A N H A_A
تو 1.0	T_D O_O
توازن 1.0	T_D A V A_A Z U N
توجہ 1.0	T_D A V A D_Z D_Z O_O
توجیہ 1.0	T_D O D_Z I_I1
توسیع 1.0	T_D O S I_I1
توسیعی 1.0	T_D O S I_I1 I_I1
توصیف 1.0	T_D O S I_I1 F
توضیح 1.0	T_D O Z I_I1
توضیحات 1.0	T_D O Z I_I1 H A_A T_D
توفیق 1.0	T_D O F I_I1 Q
توقع 1.0	T_D A V A Q Q O_O
توقعات 1.0	T_D A V A Q Q U A_A T_D
توقف 1.0	T_D A V A Q Q U F
تولید 1.0	T_D O L I_I1 D_D
تولیدی 1.0	T_D O L I_I1 D_D I_I1
تولیے 1.0	T_D O_O L J A_Y
توڑیں 1.0	T_D O_O R_R A_Y_N
توہم 1.0	T_D A V A H H U M
توہین 1.0	T_D O H I_I1 N
تک 1.0	T_D A K
تکلف 1.0	T_D A K A L L U F
تکلم 1.0	T_D A K A L L U M
تکمیل 1.0	T_D A K M I_I1 L
تھا 1.0	T_D_H A_A
تھائی 1.0	T_D_H A_A I_I1
تھام 1.0	T_D_H A_A M
تھانہ 1.0	T_D_H A_A N A_A
تھانیدار 1.0	T_D_H A_A N A_Y D_D A_A R
تھر 1.0	T_D_H A R
تھری 1.0	T_D_H I R I_I1
تھریپیس 1.0	T_D_H A R A_Y P A_Y S
تھل 1.0	T_D_H A L
تھم 1.0	T_D_H A M
تھنوں 1.0	T_D_H A N O_O_N
تھنک 1.0	T_D_H A N A K
تھو 1.0	T_D_H U_U
تھوتھا 1.0	T_D_H O_O T_D_H A_A
تھوڑا 1.0	T_D_H O_O R_R A_A
تھوڑی 1.0	T_D_H O_O R_R I_I1
تھوڑے 1.0	T_D_H O_O R_R A_Y
تھوہر 1.0	T_D_H O_O H A R
تھڑے 1.0	T_D_H A R_R A_Y
تھک 1.0	T_D_H A K
تھی 1.0	T_D_H I_I1
تھیری 1.0	T_D_H A_Y R I_I1
تھیسس 1.0	T_D_H I_I1 S I S
تھیلی 1.0	T_D_H A_E1 L I_I1
تھیم 1.0	T_D_H I_I1 M
تھینکس 1.0	T_D_H A_E1 N K S
تھیوا 1.0	T_D_H A_Y V A_A
تھیوری 1.0	T_D_H I J U_U R I_I1
تھیٹر 1.0	T_D_H A_Y T A R
تھیں 1.0	T_D_H I_I_N
تھے 1.0	T_D_H A_Y
تہتر 1.0	T_D I H A T_D T_D A R
تہذیب 1.0	T_D A_E_H H Z I_I1 B
تہذیبی 1.0	T_D A_E_H H Z I_I1 B I_I1
تہمت 1.0	T_D O_O_H H M A T_D
تہوار 1.0	T_D A_E_H H V A_A R
تہیں 1.0	T_D A_E_H H A_Y_N
تہیہ 1.0	T_D A H A_Y J J A_A
تیار 1.0	T_D A J J A_A R
تیاریاں 1.0	T_D A_E1 J A_A R I J A_A_N
تیاگ 1.0	T_D I J A_A G
تیروں 1.0	T_D A_E1 R O_O_N
تیرگی 1.0	T_D I_I1 R G I_I1
تیری 1.0	T_D A_Y R I_I1
تیرے 1.0	T_D A_Y R A_Y
تیز 1.0	T_D A_Y Z
تیزرفتار 1.0	T_D A_Y Z R A F T_D A_A R
تیزگام 1.0	T_D A_Y Z G A_A M
تیزی 1.0	T_D A_Y Z I_I1
تیسر 1.0	T_D A J A S S U R
تیسرے 1.0	T_D I_I1 S R A_Y
تیقن 1.0	T_D A J A Q Q U N
تین 1.0	T_D I_I1 N
ثاقب 1.0	S A_A Q I B
ثریا 1.0	S U R A J J A_A
ثقافت 1.0	S A Q A_A F A T_D
ثقل 1.0	S I Q L
ثلث 1.0	S U L U S
ثمر 1.0	S A M A R
جئے 1.0	D_Z A A_Y
جا 1.0	D_Z A_A
جاؤ 1.0	D_Z A_A O_O
جاؤں 1.0	D_Z A_A U_U_N
جائزہ 1.0	D_Z A_A I Z A_A
جائیداد 1.0	D_Z A_A A_Y D_D A_A D_D
جائیں 1.0	D_Z A_A A_Y_N
جائے 1.0	D_Z A_A A_Y
جاتا 1.0	D_Z A_A T_D A_A
جاتی 1.0	D_Z A_A T_D I_I1
جادوئی 1.0	D_Z A_A D_D U_U I_I1
جادوگر 1.0	D_Z A_A D_D U_U G A R
جارج 1.0	D_Z A_A R D_Z
جارحیت 1.0	D_Z A_A R A_Y H I J J A T_D
جاری 1.0	D_Z A_A R I_I1
جاسوسی 1.0	D_Z A_A S U_U S I_I1
جال 1.0	D_Z A_A L
جالندھری 1.0	D_Z A_A L A N D_D_H R I_I1
جامعہ 1.0	D_Z A_A M A_Y A_A
جان 1.0	D_Z A_A N
جانا 1.0	D_Z A_A N A_A
جانب 1.0	D_Z A_A N I B
جانبدار 1.0	D_Z A_A N I B D_D A_A R
جانوں 1.0	D_Z A_A N O_O_N
جانے 1.0	D_Z A_A N A_Y
جاوید 1.0	D_Z A_A V A_Y D_D
جاگزیں 1.0	D_Z A_A G U Z I_I_N
جاگنگ 1.0	D_Z A_A G I N_G
جاگیرداروں 1.0	D_Z A_A G I_I1 R D_D A_A R O_O_N
جایا 1.0	D_Z A_A J A_A
جب 1.0	D_Z A B
جبری 1.0	D_Z A B R I_I1
جبڑا 1.0	D_Z A B R_R A_A
جبڑوں 1.0	D_Z A B R_R O_O_N
جبڑے 1.0	D_Z A B R_R A_Y
جبیں 1.0	D_Z A B I_I_N
جتنی 1.0	D_Z A T_D N I_I1
جج 1.0	D_Z A D_Z
ججوں 1.0	D_Z A D_Z O_O_N
جدا 1.0	D_Z U D_D A_A
جداگانہ 1.0	D_Z U D_D A_A G A_A N A_A
جدوجہد 1.0	D_Z I D_D O_O D_Z A H D_D
جدول 1.0	D_Z A D_D V A L
جدون 1.0	D_Z A D_D U_U N
جدید 1.0	D_Z A D_D I_I1 D_D
جذبات 1.0	D_Z A Z B A_A T_D
جرم 1.0	D_Z U R M
جرنیل 1.0	D_Z A R N A_E1 L
جرگہ 1.0	D_Z I R G A_A
جزو 1.0	D_Z U Z V
جس 1.0	D_Z I S
جست 1.0	D_Z I S T_D
جستجو 1.0	D_Z U S T_D U D_Z U_U
جسم 1.0	D_Z I S M
جسٹس 1.0	D_Z A S T I S
جشن 1.0	D_Z A S_H N
جعفری 1.0	D_Z A_A F R I_I1
جعل 1.0	D_Z A A L
جعلسازی 1.0	D_Z A_A L S A_A Z I_I1
جعلی 1.0	D_Z A_A L I_I1
جغرافیائی 1.0	D_Z U G_G R A_A F I J A_A I_I1
جل 1.0	D_Z A L
جلالہ 1.0	D_Z A L A_A L U H U
جلد 1.0	D_Z A L D_D
جلدازجلد 1.0	D_Z A L D_D A Z D_Z A L D_D
جلدی 1.0	D_Z A L D_D I_I1
جلسوں 1.0	D_Z A L S O_O_N
جلسہ 1.0	D_Z A L S A_A
جلسے 1.0	D_Z A L S A_Y
جلو 1.0	D_Z A L V
جلوس 1.0	D_Z A L V I S
جلوسوں 1.0	D_Z A L V A S O_O_N
جلووں 1.0	D_Z A L V O_O_N
جماعت 1.0	D_Z A M A_A A T_D
جمخانہ 1.0	D_Z I M X A_A N A_A
جمشید 1.0	D_Z A M S_H A_Y D_D
جمعہ 1.0	D_Z U M A_A
جمگھٹا 1.0	D_Z A M G_H A T A_A
جمہوریت 1.0	D_Z A M H U_U R I J A T_D
جمیعت 1.0	D_Z A M I_I1 A T_D
جن 1.0	D_Z A N
جناب 1.0	D_Z A N A_A B
جنرک 1.0	D_Z A N R I K
جنریشن 1.0	D_Z A N R A_Y S_H A N
جنم 1.0	D_Z A N A M
جنوبی 1.0	D_Z U N U_U B I_I1
جنگ 1.0	D_Z A N_G
جنگجو 1.0	D_Z A N_G D_Z U_U
جنگجوؤں 1.0	D_Z A N_G D_Z U_U O_O_N
جنگجویانہ 1.0	D_Z A N_G D_Z U_U J A_A N A_A
جنگلوں 1.0	D_Z A N_G L O_O_N
جنگوں 1.0	D_Z A N_G G O_O_N
جنگی 1.0	D_Z A N_G G I_I1
جو 1.0	D_Z O_O
جوئیں 1.0	D_Z U_U A_Y_N
جوئیہ 1.0	D_Z U_U I J A_A
جوائنٹ 1.0	D_Z U_U A_A I N T
جواب 1.0	D_Z A V A_A B
جوار 1.0	D_Z A V A_A R
جوبلی 1.0	D_Z U_U B L I_I1
جوجوبا 1.0	D_Z O D_Z U_U B A_A
جور 1.0	D_Z O R
جوزی 1.0	D_Z O_O Z I_I1
جوس 1.0	D_Z U_U S
جوش 1.0	D_Z O_O S_H
جوق 1.0	D_Z O Q
جولانی 1.0	D_Z O_O L A_A N I_I1
جون 1.0	D_Z U_U N
جونا 1.0	D_Z O_O N A_A
جونہی 1.0	D_Z U_U_N H I_I1
جونیئر 1.0	D_Z U_U N I_I1 A R
جونیجو 1.0	D_Z O_O N A_Y D_Z O_O
جوڈیشری 1.0	D_Z O_O D I_I1 S_H R I_I1
جوڈیشل 1.0	D_Z U_U D I_I1 S_H A L
جوڑ 1.0	D_Z O_O R_R
جوڑا 1.0	D_Z O_O R_R A_A
جوڑیاں 1.0	D_Z O_O R_R I J A_A_N
جوڑیں 1.0	D_Z O_O R_R A_Y_N
جوڑے 1.0	D_Z O_O R_R A_Y
جوکھوں 1.0	D_Z O_O K_H O_O_N
جوگی 1.0	D_Z O_O G I_I1
جوں 1.0	D_Z U_U_N
جوہر 1.0	D_Z O H A R
جوہری 1.0	D_Z O_O H R I_I1
جوہی 1.0	D_Z U_U H I_I1
جویا 1.0	D_Z O_O J A_A
جوے 1.0	D_Z U_U A_Y
جَلد 1.0	D_Z A L D_D
جچتا 1.0	D_Z A T_S1 T_D A_A
جچیں 1.0	D_Z A T_S1 A_Y_N
جچے 1.0	D_Z A T_S1 A_Y
جڑ 1.0	D_Z A R_R
جڑواں 1.0	D_Z U R_R V A_A_N
جڑوں 1.0	D_Z A R_R O_O_N
جڑی 1.0	D_Z A R_R I_I1
جڑیں 1.0	D_Z A R_R A_Y_N
جکڑن 1.0	D_Z A K R_R A N
جکھرانی 1.0	D_Z A K_H R A_A N I_I1
جگ 1.0	D_Z A G
جگر 1.0	D_Z I G A R
جگہ 1.0	D_Z A G A_A
جگہوں 1.0	D_Z A G A H O_O_N
جھائیاں 1.0	D_Z_H A_A I J A_A_N
جھالر 1.0	D_Z_H A_A L A R
جھانکنے 1.0	D_Z_H A_A_N K N A_Y
جھاڑو 1.0	D_Z_H A_A R_R O_O
جھاڑیوں 1.0	D_Z_H A_A R_R I_I1 O_O_N
جھاگ 1.0	D_Z_H A_A G
جھجک 1.0	D_Z_H I D_Z A K
جھجھک 1.0	D_Z I D_Z A K
جھرنے 1.0	D_Z_H A R N A_Y
جھریاں 1.0	D_Z_H A R J A_A_N
جھریوں 1.0	D_Z_H A R I_I1 O_O_N
جھلس 1.0	D_Z_H U L A S
جھلک 1.0	D_Z_H A L A K
جھلی 1.0	D_Z_H A L I_I1
جھم 1.0	D_Z_H A M
جھمکے 1.0	D_Z_H A M K A_Y
جھنجھلاہٹ 1.0	D_Z_H U N D_Z_H L A_A H A T
جھنجھوڑ 1.0	D_Z_H A N D_Z_H O_O R_R
جھنڈ 1.0	D_Z_H U N D
جھنڈے 1.0	D_Z_H A N D A_Y
جھنگوی 1.0	D_Z_H A N_G V I_I1
جھولوں 1.0	D_Z_H U_U L O_O_N
جھولی 1.0	D_Z_H O_O L I_I1
جھولے 1.0	D_Z_H U_U L A_Y
جھوم 1.0	D_Z_H U_U M
جھونپڑی 1.0	D_Z_H O_O M P A R_R I_I1
جھونکوں 1.0	D_Z_H O_O_N K O_O_N
جھونکے 1.0	D_Z_H O_O N K A_Y
جھوٹ 1.0	D_Z_H U_U T
جھٹکے 1.0	D_Z_H A T K A_Y
جھڑپ 1.0	D_Z_H A R_R A P
جھڑک 1.0	D_Z_H I R_R A K
جھکاؤ 1.0	D_Z_H U K A_A O_O
جھگڑا 1.0	D_Z_H A G R_R A_A
جھگڑالو 1.0	D_Z_H A G R_R A_A L U_U
جھگڑوں 1.0	D_Z_H A G R_R O_O_N
جھگڑے 1.0	D_Z_H A G R_R A_Y
جھگی 1.0	D_Z_H U G G I_I1
جھیل 1.0	D_Z_H A_Y L
جھیلوں 1.0	D_Z_H A_Y L O_O_N
جھیلیں 1.0	D_Z_H A_Y L A_Y_N
جھیلے 1.0	D_Z_H A_Y L A_Y
جھینگے 1.0	D_Z_H I_I1 N_G G A_Y
جہاد 1.0	D_Z I H A_A D_D
جہانگیر 1.0	D_Z A H A_A N_G G I_I1 R
جہاں 1.0	D_Z A H A_A_N
جہتیں 1.0	D_Z A_Y H T_D A_Y_N
جہد 1.0	D_Z I H D_D
جہل 1.0	D_Z A H L
جی 1.0	D_Z I_I1
جیب 1.0	D_Z A_Y B
جید 1.0	D_Z A_E1 J A D_D
جیز 1.0	D_Z A_E1 Z
جیسا 1.0	D_Z A_E1 S A_A
جیسی 1.0	D_Z A_E1 S I_I1
جیسے 1.0	D_Z A_E1 S A_Y
جیش 1.0	D_Z A_E1 S_H
جیل 1.0	D_Z A_Y L
جیلانی 1.0	D_Z I_I1 L A_A N I_I1
جیم 1.0	D_Z I_I1 M
جین 1.0	D_Z A_Y N
جینوئن 1.0	D_Z A_E1 N U_U I N
جیو 1.0	D_Z I_I1 O_O
جیوئش 1.0	D_Z I J U_U I S_H
جیوری 1.0	D_Z I J U_U R I_I1
جیولری 1.0	D_Z I J U_U L R I_I1
جیومیٹری 1.0	D_Z I_I1 O_O M A_E1 T R I_I1
جیون 1.0	D_Z I_I1 V A N
جیٹ 1.0	D_Z A_E1 T
جیگوار 1.0	D_Z A_E1 G U_U A R
جے 1.0	D_Z A_E1
حائل 1.0	H A_A A_Y L
حاجی 1.0	H A_A D_Z I_I1
حادثاتی 1.0	H A_A D_D S A_A T_D I_I1
حادثے 1.0	H A_A D_D I S A_Y
حاشیے 1.0	H A_A S_H I_I1 A_Y
حاصل 1.0	H A_A S I L
حاضری 1.0	H A_A Z I R I_I1
حافظ 1.0	H A_A F I Z
حافظے 1.0	H A_A F Z A_Y
حال 1.0	H A_A L
حالات 1.0	H A_A L A_A T_D
حالانکہ 1.0	H A_A L A_A_N K A_Y
حامد 1.0	H A_A M I D_D
حامل 1.0	H A_A M I L
حاوی 1.0	H A_A V I_I1
حب 1.0	H I B
حبس 1.0	H A B S
حبشی 1.0	H A B S_H I_I1
حبیب 1.0	H A B I_I1 B
حج 1.0	H A D_Z
حجاج 1.0	H U D_Z D_Z A_A D_Z
حجت 1.0	H U D_Z D_Z A T_D
حد 1.0	H A D_D
حدود 1.0	H U D_D U_U D_D
حدیث 1.0	H A D_D I_I1 S
حرفوں 1.0	H A R F O_O_N
حروں 1.0	H U R R O_O_N
حریت 1.0	H U R R I_I1 J A T_D
حریفوں 1.0	H A R I_I1 F O_O_N
حزب 1.0	H I Z B
حزن 1.0	H U Z N
حزیں 1.0	H A Z I_I_N
حسن 1.0	H A S A N
حسین 1.0	H A S I_I1 N
حسینی 1.0	H U S A_E1 N I_I1
حسیں 1.0	H I S A_Y_N
حشر 1.0	H A S_H R
حصص 1.0	H I S A S
حصول 1.0	H U S U_U L
حصوں 1.0	H I S S O_O_N
حصہ 1.0	H I S S A_A
حصے 1.0	H I S S A_Y
حضرات 1.0	H A Z R A_A T_D
حضرت 1.0	H A Z R A T_D
حضور 1.0	H U Z U_U R
حفاظ 1.0	H U F F A_A Z
حفاظت 1.0	H I F A_A Z A T_D
حفظ 1.0	H I F Z
حفیظ 1.0	H A F I_I1 Z
حق 1.0	H A Q
حقوق 1.0	H U Q U_U Q
حقیقت 1.0	H A Q I_I1 Q A T_D
حلف 1.0	H A L F
حلقہ 1.0	H A L Q A_A
حلیہ 1.0	H U L J A_A
حمایت 1.0	H I M A_A J A T_D
حمل 1.0	H A M L
حملوں 1.0	H A M L O_O_N
حملہ 1.0	H A M L A_A
حملے 1.0	H A M L A_Y
حنیف 1.0	H A N I_I1 F
حوصلہ 1.0	H O S A L A_A
حوصلے 1.0	H O_O S L A_Y
حوض 1.0	H O Z
حویلی 1.0	H A V A_Y L I_I1
حکمراں 1.0	H U K M R A_A_N
حکومت 1.0	H U K U_U M A T_D
حیات 1.0	H A J A_A T_D
حیثیت 1.0	H A_E1 S I J A T_D
حیدر 1.0	H A_E1 D_D A R
حیران 1.0	H A_E1 R A_A N
حیراں 1.0	H A_E1 R A_A_N
حیرت 1.0	H A_E1 R A T_D
حیف 1.0	H A_E1 F
خاتمے 1.0	X A_A T_D I M A_Y
خاتون 1.0	X A_A T_D U_U N
خادم 1.0	X A_A D_D I M
خارجہ 1.0	X A_A R I D_Z A_A
خازن 1.0	X A_A Z I N
خاص 1.0	X A_A S
خاصی 1.0	X A_A S I_I1
خاصے 1.0	X A_A S A_Y
خاطر 1.0	X A_A T_D I R
خاقان 1.0	X A_A Q A_A N
خالد 1.0	X A_A L I D_D
خام 1.0	X A_A M
خاموش 1.0	X A_A M O_O S_H
خاموشی 1.0	X A_A M O_O S_H I_I1
خان 1.0	X A_A N
خاندان 1.0	X A_A N D_D A_A N
خانقاہوں 1.0	X A_A N Q A_A H O_O_N
خانگی 1.0	X A_A N_G G I_I1
خاوند 1.0	X A_A V A N D_D
خاں 1.0	X A_A_N
خبر 1.0	X A B A R
خبروں 1.0	X A B R O_O_N
خبریں 1.0	X A B R A_Y_N
ختم 1.0	X A T_D M
خداؤں 1.0	X U D_D A_A O_O_N
خدانخواستہ 1.0	X U D_D A_A N A X A_A S T_D A_A
خدشہ 1.0	X A D_D S_H A_A
خدشے 1.0	X A D_D S_H A_Y
خدمات 1.0	X I D_D M A_A T_D
خدوخال 1.0	X A D_D O_O X A_A L
خروش 1.0	X U R U_U S_H
خرچ 1.0	X A R T_S1
خرید 1.0	X A R I_I1 D_D
خریدوفروخت 1.0	X A R I_I1 D_D O_O F A R O_O X T_D
خریدیں 1.0	X A R I_I1 D_D A_Y_N
خریدے 1.0	X A R I_I1 D_D A_Y
خزانہ 1.0	X A Z A_A N A_A
خزاں 1.0	X I Z A_A_N
خسارے 1.0	X A S A_A R A_Y
خسرو 1.0	X U S R O
خشت 1.0	X I S_H T_D
خشخاش 1.0	X A S_H X A_A S_H
خشوع 1.0	X U S_H U_U
خشونت 1.0	X U S_H U_U N A T_D
خصال 1.0	X I S A_A L
خصوصا 1.0	X U S U_U S A N
خصوصی 1.0	X U S U_U S I_I1
خضر 1.0	X I Z R
خضوع 1.0	X U Z U_U
خفت 1.0	X I F F A T_D
خفگی 1.0	X A F A G I_I1
خفیف 1.0	X A F I_I1 F
خفیہ 1.0	X U F J A_A
خلائی 1.0	X A L A_A I_I1
خلاف 1.0	X I L A_A F
خلجی 1.0	X I L D_Z I_I1
خلق 1.0	X U L Q
خلل 1.0	X A L A L
خلیفہ 1.0	X A L I_I1 F A_A
خلیل 1.0	X A L I_I1 L
خلیے 1.0	X A L J A_Y
خم 1.0	X A M
خمار 1.0	X U M A_A R
خنازیر 1.0	X I N A_A Z I_I1 R
خوابیدہ 1.0	X A_A B I_I1 D_D A_A
خواتین 1.0	X A V A_A T_D I_I1 N
خواجہ 1.0	X A_A D_Z A_A
خوار 1.0	X A A R
خوارزمی 1.0	X U V A_A R Z A M I_I1
خواری 1.0	X O_O A_A R I_I1
خواستگار 1.0	X U A_A S T_D G A_A R
خواص 1.0	X V A_A S
خوان 1.0	X O V A_A N
خواہ 1.0	X A_A
خواہاں 1.0	X A_A H A_A_N
خواہش 1.0	X A_A H I S_H
خواہشمند 1.0	X A_A H I S_H M A N D_D
خوبصورت 1.0	X U_U B S U_U R A T_D
خود 1.0	X U D_D
خودرو 1.0	X U D_D R O
خودسر 1.0	X U D_D S A R
خودسوزی 1.0	X U D_D S O_O Z I_I1
خودکشیوں 1.0	X U D_D K U S_H J O_O_N
خوراک 1.0	X U R A_A K
خورشید 1.0	X U R S_H I_I1 D_D
خوشبو 1.0	X U S_H B U_U
خوشبوؤں 1.0	X U S_H B U_U O_O_N
خوشبوئیں 1.0	X U S_H B U_U A_Y_N
خوشحالی 1.0	X U S_H H A_A L I_I1
خوشخبری 1.0	X U S_H X A B A R I_I1
خوشنودی 1.0	X U S_H N U_U D_D I_I1
خوشگوار 1.0	X U S_H G A V A_A R
خوشہ 1.0	X O_O S_H A_A
خوشی 1.0	X U S_H I_I1
خوشیاں 1.0	X U S_H J A_A_N
خوشیوں 1.0	X U S_H I_I1 O_O_N
خوض 1.0	X O Z
خوف 1.0	X O F
خوفزدہ 1.0	X O F Z A D_D A_A
خوفناک 1.0	X O_O F N A_A K
خوفوں 1.0	X O F O_O_N
خول 1.0	X O L
خون 1.0	X U_U N
خوگر 1.0	X U_U G A R
خویش 1.0	X O A_Y S_H
خُو 1.0	X U_U
خچر 1.0	X A T_S1 T_S1 A R
خیال 1.0	X A J A_A L
خیام 1.0	X A J A_A M
خیر 1.0	X A_E1 R
خیرالعمل 1.0	X A_E1 R U L A M A L
خیرخواہ 1.0	X A_E1 R X A_A
خیرہ 1.0	X I_I1 R A_A
خیز 1.0	X A_Y Z
خیل 1.0	X A_E1 L
خیلوی 1.0	X A_Y L V I_I1
خیمے 1.0	X A_E1 M A_Y
داؤ 1.0	D_D A_A O_O
داؤد 1.0	D_D A_A U_U D_D
داؤدی 1.0	D_D A U_U D_D I_I1
دائِیں 1.0	D_D A_A I_I_N
دائیں 1.0	D_D A_A A_Y_N
داخل 1.0	D_D A_A X I L
داخلوں 1.0	D_D A_A X L O_O_N
دارالحکومت 1.0	D_D A_A R U L H U K U_U M A T_D
دارلخلافہ 1.0	D_D A_A R U L X I L A_A F A H
دارومدار 1.0	D_D A_A R O_O M A D_D A_A R
داستان 1.0	D_D A_A S T_D A_A N
داغ 1.0	D_D A_A G_G
داغدار 1.0	D_D A_A G_G D_D A_A R
داغنے 1.0	D_D A_A G_G N A_Y
داغے 1.0	D_D A_A G_G A_Y
دانش 1.0	D_D A_A N I S_H
دانشو 1.0	D_D A_A N I S_H O_O
دانشور 1.0	D_D A_A N I S_H V A R
داڑھ 1.0	D_D A_A R_R_H I
داڑھی 1.0	D_D A_A R_R_H I_I1
دب 1.0	D_D A B
دباؤ 1.0	D_D A B A_A O_O
دبائیں 1.0	D_D A B A_A A_Y_N
دبائے 1.0	D_D A B A_A A_Y
دبایا 1.0	D_D A B A_A J A_A
دبوچ 1.0	D_D A B O_O T_S1
دبیز 1.0	D_D A B I_I1 Z
دختر 1.0	D_D U X T_D A R
دخل 1.0	D_D A X L
در 1.0	D_D A R
درآمدات 1.0	D_D A R A A_A M D_D A_A T_D
دراوڑی 1.0	D_D A R A_A V I R_R I_I1
دراڑیں 1.0	D_D A R A_A R_R A_Y_N
درج 1.0	D_D A R D_Z
درجن 1.0	D_D A R D_Z A N
درجوں 1.0	D_D A R D_Z O_O_N
درجے 1.0	D_D A R D_Z A_Y
درخت 1.0	D_D A R A X T_D
درخشاں 1.0	D_D A R A X S_H A_A_N
درخواست 1.0	D_D A R X A_A S T_D
درخور 1.0	D_D A R X O_O R
درد 1.0	D_D A R D_D
درس 1.0	D_D A R S
درست 1.0	D_D U R U S T_D
درستگی 1.0	D_D A R U S T_D A G I_I1
درسگاہ 1.0	D_D A R S G A_A
درسگاہوں 1.0	D_D A R A S G A_A H O_O_N
درمیان 1.0	D_D A R M I J A_A N
درود 1.0	D_D U R U_U D_D
درہم 1.0	D_D I R H A M
دریاؤں 1.0	D_D A R J A_A O_O_N
دریافت 1.0	D_D A R J A_A F T_D
دریغ 1.0	D_D A R A_Y G_G
دریچوں 1.0	D_D A R I_I1 T_S1 O_O_N
دریچے 1.0	D_D A R I_I1 T_S1 A_Y
دریں 1.0	D_D A R I_I_N
دس 1.0	D_D A S
دستاویزات 1.0	D_D A S T_D A_A V A_Y Z A_A T_D
دستاویزی 1.0	D_D A S T_D A_A V I_I1 Z I_I1
دسویں 1.0	D_D A S V A_Y_N
دشت 1.0	D_D A S_H T_D
دشمن 1.0	D_D U S_H M A N
دشوار 1.0	D_D U S_H V A_A R
دعا 1.0	D_D U A_A
دعاؤں 1.0	D_D U A_A O_O_N
دعائیں 1.0	D_D U A_A A_Y_N
دعائیہ 1.0	D_D U A_A I_I1 J A_A
دعاگو 1.0	D_D U A_A G O_O
دعوؤں 1.0	D_D A_A V O_O_N
دغا 1.0	D_D A G_G A_A
دفاع 1.0	D_D I F A_A
دفتر 1.0	D_D A F T_D A R
دفن 1.0	D_D A F N
دل 1.0	D_D I L
دلبرداشتہ 1.0	D_D I L B A R D_D A_A S_H T_D A_A
دلجوئی 1.0	D_D I L D_Z U_U I_I1
دلخراش 1.0	D_D I L X A R A_A S_H
دلربا 1.0	D_D I L R U B A_A
دلسوزی 1.0	D_D I L S O_O Z I_I1
دلشاد 1.0	D_D I L S_H A_A D_D
دلفریب 1.0	D_D I L F A R A_Y B
دلنشیں 1.0	D_D I L N A S_H I_I_N
دلواؤں 1.0	D_D I L V A_A U_U_N
دلوں 1.0	D_D I L O_O_N
دلچسپی 1.0	D_D I L T_S1 A S P I_I1
دلہن 1.0	D_D U L H A N
دم 1.0	D_D I M
دماغ 1.0	D_D I M A_A G_G
دماغی 1.0	D_D I M A_A G_G I_I1
دن 1.0	D_D I N
دنگ 1.0	D_D A N_G
دنیا 1.0	D_D U N J A_A
دنیاوی 1.0	D_D U N J A_A V I_I1
دو 1.0	D_D O_O
دوا 1.0	D_D A V A_A
دواؤں 1.0	D_D A V A_A O_O_N
دوبارہ 1.0	D_D O_O B A_A R A_A
